Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2018,7,July,2253,0,8
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2019,12,December,700,0,12
B00037,TRANSP UNLIMITED C/S,,2019,1,January,7437,0,29
B02905,PUEBLA LUXURY CORP,,2018,9,September,11548,0,50
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2020,4,April,1903,0,13
B01391,ROSE 'N' DALE C/S INC,,2015,8,August,3879,0,12
B02849,BROOKLYN RIDES CORP,,2018,10,October,17770,0,123
B02243,BARONAS LUXURY II INC,,2018,2,February,9138,0,113
B00619,"HOLA CAR SERVICE,INC.",,2021,8,August,160,0,3
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2017,10,October,1203,0,6
B02809,NBT TRANSPORTATION INC,,2015,9,September,1377,0,14
B02027,"PARIS LIMOUSINE SERVICE, CORP",,2018,10,October,1623,0,42
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2019,3,March,438,0,7
B02550,AGAPE LUXURY CORP.,,2015,9,September,14271,0,123
B01339,R C AUDUBON SVC INC,,2018,4,April,12794,0,78
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2017,4,April,2996,0,17
B00888,ACE C/L SVCE INC,,2020,1,January,1000,0,31
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2022,2,February,232,0,3
B01811,IVOIRE LIMO INC.,,2015,6,June,7501,0,51
B02103,A & S LIMOUSINE SERVICE CORP,,2017,10,October,12413,0,68
B01081,GEORGE TOWN MANAGEMENT INC,,2017,3,March,925,0,9
B00001,LONDON TOWNCARS INC,,2015,12,December,2113,0,40
B02229,NEW FAT INC.,ELEGANTE,2015,10,October,25807,0,235
B03104,GCC TRANSPORTATION LLC.,,2021,5,May,4317,0,9
B02819,FIVE STAR LUXURY INC.,,2020,11,November,24,0,9
B01351,HADERECH CAR SERVICE INC,,2019,12,December,176,0,2
B00053,CHARGE AND RIDE INC,,2015,10,October,1439,0,87
B01963,AFRO CAR SERVICE CORP,,2019,8,August,1365,0,10
B02795,LIMO SEVEN TRANSPORTATION INC,,2020,9,September,3899,0,23
B03355,MANA TRANSPORTATION INC.,,2022,1,January,946,0,10
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,2018,4,April,13,0,3
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2022,3,March,829,0,178
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2016,9,September,4160,0,22
B02517,LOS PAISANOS LUXURY C/S INC.,,2020,1,January,1057,0,9
B01614,R TRANSPORT INC,,2021,3,March,144,0,3
B02614,MEXICO LA  NEW POBLANITA EXPRESS INC.,,2018,4,April,632,0,3
B01196,DIPLO RAD DISP INC,,2021,8,August,8334,0,46
B02664,CORPORATE CAR LTD.,,2018,3,March,159,0,41
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2019,1,January,1100,0,5
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2019,12,December,991,0,305
B03242,U1ST TRANSPORTATION SERVICES LLC,,2021,3,March,254,0,4
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2020,7,July,134,0,6
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2017,12,December,20,0,6
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2020,2,February,51,0,4
B02917,C & A BLACK CAR CORP.,,2021,8,August,1280,0,38
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2018,4,April,973,0,11
